wikidata_id,title,description,bucket,enwiki_title,country,relevance_start,relevance_end,pageviews_365d,points
Q11510,$#*! My Dad Says,American television sitcom | bucket: tv_series,tv_series,$h*! My Dad Says,United States,2010-09-23,2011-02-17,0,4
Q618755,1 Litre no Namida,2005 Japanese television drama | bucket: tv_series,tv_series,1 Litre no Namida (TV series),Japan,2005-01-01,2005-12-20,0,4
Q163904,10.5,2004 television miniseries directed by John Lafia | bucket: tv_series,tv_series,10.5 (miniseries),United States,2004-05-02,2004-05-03,0,4
Q163903,10.5: Apocalypse,2006 television miniseries directed by John Lafia | bucket: tv_series,tv_series,10.5: Apocalypse,United States,2006-01-01,2006-05-23,0,4
Q114497,11 Uhr 20,1970 film directed by Wolfgang Becker | bucket: tv_series,tv_series,11 Uhr 20,Germany,1970-01-08,1970-01-11,0,4
Q717605,14-sai no Haha,2006 Japanese television series | bucket: tv_series,tv_series,Mother at Fourteen,Japan,2006-10-11,2006-12-20,0,4
Q56194,24,"American television series (2001–2010, 2014) | bucket: tv_series",tv_series,24 (TV series),United States,2001-11-06,2010-05-24,0,4
Q185694,3 Molinos Resort,"professional cycling team based in Spain, founded and disbanded 2006 | bucket: sports_team",sports_team,3 Molinos Resort,Spain,2006-01-01,,0,4
Q229817,3×3 Eyes,manga | bucket: film,film,3×3 Eyes,Japan,,,0,4
Q712711,801 T.T.S. Airbats,manga | bucket: film,film,801 T.T.S. Airbats,Japan,,,0,4
Q367189,A Casa das Sete Mulheres,Brazilian television series | bucket: tv_series,tv_series,A Casa das Sete Mulheres,Brazil,2003-01-07,2003-04-08,0,4
Q279384,A Tout le Monde,1995 single by Megadeth | bucket: musical_work,musical_work,A Tout le Monde,United States,1994-01-01,1995-02-01,0,4
Q289871,A.D. Police Files,three-part original video animation | bucket: film,film,AD Police Files,Japan,1990-01-01,1990-01-01,0,4
Q76933713,Aaravos,fictional character from the animated television series The Dragon Prince | bucket: fictional_character,fictional_character,Aaravos,,2018-01-01,,0,4
Q4662746,Aasterinian,bucket: fictional_character,fictional_character,Aasterinian,,,,0,4
Q317219,Abdul Ghani Baradar,co-founder and political leader of the Afghan Taliban | bucket: human,human,Abdul Ghani Baradar,Afghanistan; Democratic Republic of Afghanistan; Kingdom of Afghanistan; Republic of Afghanistan; Islamic State of Afghanistan,1963-09-29,,0,4
Q317373,Abdul Rahim Wardak,Afghan general and politician | bucket: human,human,Abdul Rahim Wardak,Afghanistan,1940-01-01,,0,4
Q323448,Abraham Abulafia,Spanish Kabbalah teacher (1240-1291) | bucket: human,human,Abraham Abulafia,Kingdom of Aragon,1240-01-01,1292-01-01,0,4
Q4673352,"Achaea, Dreams of Divine Lands",1997 video game | bucket: video_game,video_game,"Achaea, Dreams of Divine Lands",United States,1997-01-01,1997-01-01,0,4
Q342220,Acqua & Sapone,cycling team (2004–2012) | bucket: sports_team,sports_team,Acqua & Sapone,Italy,2004-01-01,2012-01-01,0,4
Q343608,Action 52,unlicensed multicart video game compilation | bucket: video_game,video_game,Action 52,United States,1991-01-01,1991-01-01,0,4
Q4684292,Adolfo de Hostos,Puerto Rican historian (1887-1982) | bucket: human,human,Adolfo de Hostos,United States,1887-01-08,1982-10-29,0,4
Q2566060,Age of Chivalry,video game | bucket: video_game,video_game,Age of Chivalry,,2007-09-10,2007-09-10,0,4
Q2661073,Agent,unreleased video game by Rockstar Games | bucket: video_game,video_game,Agent (video game),United Kingdom,,,0,4
Q397221,Agritubel,cycling team (2001-2009) | bucket: sports_team,sports_team,Agritubel,France,2004-01-01,2009-01-01,0,4
Q11450933,Ajigawa stable,stable of sumo wrestlers | bucket: sports_team,sports_team,Ajigawa stable (2022),Japan,,,0,4
Q175392,Akosua Busia,Ghanaian-born British actress and songwriter | bucket: human,human,Akosua Busia,Ghana,1966-12-30,,0,4
Q903599,Akumu-chan,Japanese TV series or program | bucket: tv_series,tv_series,My Little Nightmare,Japan,2012-10-13,2012-12-22,0,4
Q4702119,Al'Akbar,bucket: fictional_character,fictional_character,Al'Akbar,,,,0,4
Q25999643,Al-Mahdi Al-Barghathi,Libyan politician | bucket: human,human,Al-Mahdi Al-Barghathi,,,,0,4
Q30905503,Alejandro Finocchiaro,Argentine politician | bucket: human,human,Alejandro Finocchiaro,Argentina,1967-08-27,,0,4
Q376873,Alexander Zwo,television series | bucket: tv_series,tv_series,Alexander Zwo,Germany,1972-11-25,1973-02-10,0,4
Q61524658,Alfred Jonas Dowuona-Hammond,Ghanaian politician | bucket: human,human,Alfred Jonas Dowuona-Hammond,Ghana,1920-06-17,,0,4
Q4726468,Alien Swarm,2004 video game | bucket: video_game,video_game,Alien Swarm (mod),,2004-05-28,2004-05-28,0,4
Q125156681,Alien: Isolation - Crew Expendable,2014 video game expansion | bucket: video_game,video_game,Alien: Isolation - Crew Expendable,England,2014-10-28,2014-10-28,0,4
Q49829,Alles Atze,German comedy television series | bucket: tv_series,tv_series,Alles Atze,Germany,2000-01-07,2007-06-22,0,4
Q21114,Alligator Sky,song by Owl City | bucket: musical_work,musical_work,Alligator Sky,United States,2011-04-12,2011-04-12,0,4
Q4732876,Allitur,fictional deity from Dungeons & Dragons | bucket: fictional_character,fictional_character,Allitur,,,,0,4
Q4734106,Alocer,bucket: fictional_character,fictional_character,Alocer (Dungeons & Dragons),,,,0,4
Q796040,Alpecin-Premier Tech,Belgian cycling team | bucket: sports_team,sports_team,Alpecin–Premier Tech,Belgium,2009-01-01,,0,4
Q128495,Alpha 5,fictional character | bucket: fictional_character,fictional_character,Alpha 5 (Power Rangers),,,,0,4
Q4736264,Alter Aeon,1995 video game | bucket: video_game,video_game,Alter Aeon,United States,1995-01-01,1995-01-01,0,4
Q4737052,Altwaal,bucket: fictional_character,fictional_character,Altwaal,,,,0,4
Q4740629,Amatsu-Mikaboshi,fictional character in Marvel Comics | bucket: fictional_character,fictional_character,Amatsu-Mikaboshi (character),,,,0,4
Q2579615,Amazing Nurse Nanako,1999 original video animation | bucket: film,film,Amazing Nurse Nanako,Japan,1999-01-01,2000-01-01,0,4
Q2839801,Ambassador Magma,Japanese manga series | bucket: film,film,Ambassador Magma,Japan,1966-06-04,1967-09-25,0,4
Q53922,American Horror Story,American anthology horror television series | bucket: tv_series,tv_series,American Horror Story,United States,2011-10-05,,0,4
Q468052,Amerika,1987 American television serial | bucket: tv_series,tv_series,Amerika (miniseries),United States,1987-01-01,1987-02-22,0,4
Q239375,Amica Chips-Knauf,cycling team | bucket: sports_team,sports_team,Amica Chips–Knauf,San Marino,2008-01-01,2009-01-01,0,4
Q131483,Ammit,female demon in ancient Egyptian religion | bucket: fictional_character,fictional_character,Ammit,,,,0,4
Q485949,Anantacaritra,Bodhisattva mentioned in the Lotus Sutra | bucket: fictional_character,fictional_character,Anantacaritra,,,,0,4
Q280082,And No Matches,single | bucket: musical_work,musical_work,And No Matches,,2007-11-23,2007-11-23,0,4
Q426501,Andalucía,cycling team | bucket: sports_team,sports_team,Andalucía (cycling team),Spain,2005-01-01,2013-01-01,0,4
Q1193734,Andjety,ancient Egyptian deity | bucket: fictional_character,fictional_character,Andjety,,,,0,4
Q1080652,Angel of Darkness,1994 Japanese OVA | bucket: film,film,Angel of Darkness (anime),Japan,1994-01-01,1994-01-01,0,4
Q2786549,Angry Birds Trilogy,2012 video game compilation | bucket: video_game,video_game,Angry Birds Trilogy,,2012-09-25,2012-09-25,0,4
Q547812,Animation Runner Kuromi,original video animation | bucket: film,film,Animation Runner Kuromi,Japan,,,0,4
Q742086,Another Lady Innocent,2004 original video animation | bucket: film,film,Another Lady Innocent,Japan,2004-01-01,2004-01-01,0,4
Q2302818,Anput,Egyptian deity | bucket: fictional_character,fictional_character,Anput,,,,0,4
Q160061,Anton Diabelli,Austrian composer and publisher | bucket: human,human,Anton Diabelli,Austrian Empire,1781-09-06,1858-04-08,0,4
Q4779725,Aphrodite,fictional character | bucket: fictional_character,fictional_character,Aphrodite (Hercules: The Legendary Journeys and Xena: Warrior Princess),,,,0,4
Q4780268,Apollo,Wildstorm/DC Comics superhero character | bucket: fictional_character,fictional_character,Apollo (DC Comics),,,,0,4
Q4780459,Apomps,bucket: fictional_character,fictional_character,Apomps,,,,0,4
Q2858749,Appleseed,1988 cyberpunk original video animation directed by Kazuyoshi Katayama | bucket: film,film,Appleseed (1988 film),Japan,1988-01-01,1988-01-01,0,4
Q635470,Appleseed XIII,original video animation | bucket: film,film,Appleseed XIII,Japan,,,0,4
Q4783784,Araiso stable,bucket: sports_team,sports_team,Araiso stable,Japan,,,0,4
Q4784369,Arashio stable,stable of sumo wrestlers | bucket: sports_team,sports_team,Arashio stable,Japan,,,0,4
Q4785042,Arc the Lad Collection,2002 compilation of Arc the Lad video games | bucket: video_game,video_game,Arc the Lad Collection,,2002-04-18,2002-04-18,0,4
Q4785071,Arcade Classic,video game compilation | bucket: video_game,video_game,Arcade Classic,,1995-01-01,1998-01-01,0,4
Q4785072,Arcade Classics,1996 video game | bucket: video_game,video_game,Arcade Classics (CD-i video game),,1996-01-01,1996-01-01,0,4
Q4785081,Arcade Party Pak,video game compilation | bucket: video_game,video_game,Arcade Party Pak,United States,1999-09-30,1999-09-30,0,4
Q4785088,Arcade Smash Hits,video game compilation | bucket: video_game,video_game,Arcade Smash Hits,United Kingdom,1992-01-01,1992-01-01,0,4
Q4785052,Arcade's Greatest Hits: The Atari Collection 2,1998 video game compilation | bucket: video_game,video_game,Arcade's Greatest Hits: The Atari Collection 2,United States,1998-04-05,1998-04-05,0,4
Q4069054,Ares,"character on the television shows Xena: Warrior Princess, Hercules: The Legendary Journeys and Young Hercules | bucket: fictional_character",fictional_character,Ares (Hercules: The Legendary Journeys and Xena: Warrior Princess),,,,0,4
Q4790741,Arioch,bucket: fictional_character,fictional_character,Arioch (Dungeons & Dragons),,,,0,4
Q721234,Arkéa-B&B Hotels,French cycling team | bucket: sports_team,sports_team,Arkéa–B&B Hotels,France,2005-01-01,2025-01-01,0,4
Q4792883,Armaros,bucket: fictional_character,fictional_character,Armaros (Dungeons & Dragons),,,,0,4
Q688651,Armitage III,1995 cyberpunk original video animation series | bucket: film,film,Armitage III,Japan,1994-01-01,1995-01-01,0,4
Q965450,Armored Trooper VOTOMS,Japanese anime television series | bucket: film,film,Armored Trooper VOTOMS,Japan,1983-01-01,2007-01-01,0,4
Q11598,Arrested Development,American television sitcom | bucket: tv_series,tv_series,Arrested Development,United States,2003-11-02,2019-03-15,0,4
Q778400,Arya,character in Inheritance Cycle tetralogy | bucket: fictional_character,fictional_character,Arya Dröttningu,,,,0,4
Q4803401,Asahiyama stable,sumo wrestling stable | bucket: sports_team,sports_team,Asahiyama stable,Japan,,,0,4
Q11557497,Asakayama stable,stable of sumo wrestlers | bucket: sports_team,sports_team,Asakayama stable,Japan,,,0,4
Q267145,Ashes,single | bucket: musical_work,musical_work,Ashes (Embrace song),,2004-11-15,2004-11-15,0,4
Q4807444,Asmodeus,fictional deity from the Dungeons & Dragons franchise | bucket: fictional_character,fictional_character,Asmodeus (Dungeons & Dragons),,,,0,4
Q111234859,Assassin's Creed III: The Tyranny of King Washington,2013 downloadable content expansion pack | bucket: video_game,video_game,Assassin's Creed III: The Tyranny of King Washington,,,,0,4
Q108857447,Assassin's Creed Syndicate: Jack the Ripper,2015 video game DLC | bucket: video_game,video_game,Assassin's Creed Syndicate: Jack the Ripper,,2015-12-22,2015-12-22,0,4
Q2714423,Asuka Kazama,fictional character from Tekken | bucket: fictional_character,fictional_character,Asuka Kazama,,1990-06-02,,0,4
Q240455,Ataa Oko,Coffin artist (1919–2012) | bucket: human,human,Ataa Oko,Ghana,1919-01-01,2012-12-09,0,4
Q4812833,Atari Greatest Hits,video game series | bucket: video_game,video_game,Atari Greatest Hits,,2010-11-02,2011-03-08,0,4
Q213104,Ataru,TBS TV series | bucket: tv_series,tv_series,Ataru (TV series),Japan,2012-04-15,2012-06-24,0,4
Q2407136,Atashinchi no Danshi,Japanese TV series | bucket: tv_series,tv_series,Atashinchi no Danshi,Japan,2009-04-14,2009-06-23,0,4
Q130227,Aten,ancient Egyptian god | bucket: fictional_character,fictional_character,Aten,,,,0,4
Q4817634,Atroa,fictional deity from Dungeons & Dragons | bucket: fictional_character,fictional_character,Atroa (Dungeons & Dragons),,,,0,4
Q590513,Aurum Hotels,cycling team | bucket: sports_team,sports_team,Aurum Hotels,Italy; Switzerland; Slovenia,1996-01-01,2007-01-01,0,4
Q193849,Avalokiteśvara,Bodhisattva embodying compassion | bucket: fictional_character,fictional_character,Avalokiteśvara,,,,0,4
Q4827646,Avandra,bucket: fictional_character,fictional_character,Avandra,,,,0,4
Q35539733,Ayo Omidiran,politician | bucket: human,human,Ayo Omidiran,Nigeria,1963-11-10,,0,4
